Q1,Q2,Q3,Delta,Topological Type
14/5*x^2 + 12/11*y^2 + 20/13*z^2,14/3*x^2 + y^2 + 3/13*z^2,15/17*x^2 + y^2 + 17/3*z^2,2954/153*x^4 + 15626/2805*x^2*y^2 - 1/11*y^4 - 49958/3315*x^2*z^2 - 1038/143*y^2*z^2 - 4393/507*z^4,1 oval
5/3*x^2 + 6/19*y^2 + 11/3*z^2,7/5*x^2 + 12/19*y^2 + 1/2*z^2,14/17*x^2 + 7/19*y^2 + 5/19*z^2,749/1275*x^4 + 4333/4845*x^2*y^2 + 102/361*y^4 - 3324/1615*x^2*z^2 - 869/1083*y^2*z^2 - 163/228*z^4,1 oval
19/3*x^2 + 20/19*y^2 + 3/2*z^2,7/17*x^2 + 2*y^2 + 4*z^2,14/5*x^2 + 1/13*y^2 + 8/19*z^2,-76139/4335*x^4 - 22517/12597*x^2*y^2 + 968/247*y^4 - 911/255*x^2*z^2 + 144933/9386*y^2*z^2 + 292/19*z^4,1 oval
20/13*x^2 + 1/19*y^2 + 16/17*z^2,2*x^2 + 2*y^2 + 8/13*z^2,11/19*x^2 + 10/11*y^2 + 11/13*z^2,768/247*x^4 + 339211/51623*x^2*y^2 + 826/209*y^4 + 33564/54587*x^2*z^2 + 72119/46189*y^2*z^2 - 1200/2873*z^4,1 oval
17/13*x^2 + 7/11*y^2 + z^2,9/11*x^2 + 2/13*y^2 + 6/19*z^2,3/17*x^2 + y^2 + 1/3*z^2,690/1573*x^4 - 2840/2431*x^2*y^2 - 1139/1859*y^4 - 13250/138567*x^2*z^2 - 9088/8151*y^2*z^2 - 253/1083*z^4,1 oval
11/3*x^2 + 10/7*y^2 + 10/17*z^2,9/19*x^2 + 13/7*y^2 + 1/5*z^2,13/19*x^2 + 2/3*y^2 + 2/3*z^2,-2474/1083*x^4 - 1990/1197*x^2*y^2 + 367/147*y^4 - 38626/14535*x^2*z^2 - 358/595*y^2*z^2 - 449/1275*z^4,1 oval
1/17*x^2 + 3/13*y^2 + 2/11*z^2,20/7*x^2 + 5/17*y^2 + 7/17*z^2,1/11*x^2 + 3/19*y^2 + 13/3*z^2,74751/9163*x^4 + 533614/323323*x^2*y^2 + 3574/71383*y^4 + 12845/6171*x^2*z^2 - 47505/60401*y^2*z^2 - 5897/9537*z^4,1 oval
5/19*x^2 + y^2 + 17/7*z^2,17/5*x^2 + 6/13*y^2 + 1/19*z^2,7/3*x^2 + 9/11*y^2 + z^2,15598/1425*x^4 + 24038/40755*x^2*y^2 - 1125/1859*y^4 - 1588/285*x^2*z^2 - 55886/19019*y^2*z^2 - 6130/2527*z^4,1 oval
14/17*x^2 + 13/19*y^2 + 2/19*z^2,20/3*x^2 + 1/17*y^2 + 7/11*z^2,11/7*x^2 + 17/19*y^2 + 9/17*z^2,6602/153*x^4 - 6971/6783*x^2*y^2 - 63508/104329*y^4 + 9999532/1268421*x^2*z^2 - 25757/67507*y^2*z^2 + 13649/39083*z^4,1 oval
11/19*x^2 + 11/17*y^2 + 16/11*z^2,19/3*x^2 + 16/5*y^2 + 16/19*z^2,12/7*x^2 + 15/2*y^2 + 19/7*z^2,46825/1197*x^4 + 2379611/67830*x^2*y^2 + 4579/850*y^4 + 1525/231*x^2*z^2 - 904797/124355*y^2*z^2 - 90032/27797*z^4,1 oval
18/11*x^2 + 5/11*y^2 + 10/17*z^2,14/11*x^2 + 2/17*y^2 + 8/19*z^2,4/7*x^2 + 20/13*y^2 + 4*z^2,580/847*x^4 - 42164/17017*x^2*y^2 - 28328/41327*y^4 - 13136/2261*x^2*z^2 - 121204/46189*y^2*z^2 - 13352/6137*z^4,1 oval
7/5*x^2 + 9/13*y^2 + 17/3*z^2,18/7*x^2 + 2/11*y^2 + 19/17*z^2,14/3*x^2 + 7/3*y^2 + 17/3*z^2,58/735*x^4 - 83519/15015*x^2*y^2 - 2489/1573*y^4 - 153313/5355*x^2*z^2 - 366230/21879*y^2*z^2 - 80272/2601*z^4,1 oval
10/7*x^2 + 4/17*y^2 + z^2,15/7*x^2 + 7/19*y^2 + 6/19*z^2,5/2*x^2 + 18/17*y^2 + 8/13*z^2,50/49*x^4 - 1180/2261*x^2*y^2 - 11831/104329*y^4 - 7005/3458*x^2*z^2 - 77462/79781*y^2*z^2 - 2420/4693*z^4,1 oval
2/13*x^2 + 2/3*y^2 + 2*z^2,3/2*x^2 + 14/13*y^2 + 15/17*z^2,11/2*x^2 + 14/11*y^2 + 17/11*z^2,73/52*x^4 - 271/429*x^2*y^2 + 1736/5577*y^4 - 20884/2431*x^2*z^2 - 12218/7293*y^2*z^2 - 7351/3179*z^4,1 oval
