Q1,Q2,Q3,Delta,Topological Type
6*x^2 - 7/2*y^2 + 8/3*z^2,x^2 - 7/2*y^2 + 2*z^2,3*x^2 + 2/3*y^2 - 2*z^2,-17*x^4 - 1/2*x^2*y^2 + 175/12*y^4 + 8*x^2*z^2 - 205/9*y^2*z^2 + 28/3*z^4,1 oval
6*x^2 + 5/7*y^2 + 5*z^2,6*x^2 + 1/2*z^2,9*x^2 + 1/2*y^2 + 4/3*z^2,-18*x^4 - 66/7*x^2*y^2 - 5/14*y^4 - 47*x^2*z^2 - 145/42*y^2*z^2 - 77/12*z^4,2 nested ovals
4*x^2 + 6/5*y^2 + 3/2*z^2,x^2 + 1/3*y^2 + 3*z^2,5*x^2 - 3/5*y^2 + 1/2*z^2,-19*x^4 - 44/15*x^2*y^2 + 187/225*y^4 - 7/2*x^2*z^2 + 23/10*y^2*z^2 + 33/4*z^4,1 oval
8*x^2 + 9/5*y^2 - z^2,x^2 + 8/3*y^2 + 4*z^2,8*x^2 - 2/7*y^2 + z^2,-63*x^4 - 712/105*x^2*y^2 + 2402/315*y^4 + 8*x^2*z^2 + 2021/105*y^2*z^2 + 17*z^4,1 oval
x^2 + 4/3*y^2 + 9/7*z^2,2*x^2 - 9/5*y^2 - 3*z^2,10*x^2 - 4/3*y^2,-6*x^4 - 96/5*x^2*y^2 + 1129/225*y^4 - 174/7*x^2*z^2 + 438/35*y^2*z^2 + 9*z^4,1 oval
7*x^2 + 8/5*y^2 + 2/3*z^2,6*x^2 + 8/7*y^2 + 9/5*z^2,6*x^2 + 7/2*y^2 + 5/3*z^2,-6*x^4 - 1427/70*x^2*y^2 - 1052/245*y^4 + 89/15*x^2*z^2 - 31/35*y^2*z^2 + 479/225*z^4,1 oval
8*x^2 + y^2 + 8/5*z^2,2*x^2 + 1/2*y^2 - 3/7*z^2,9*x^2 - 4/3*y^2 + 7/3*z^2,-68*x^4 + 11/3*x^2*y^2 + 19/12*y^4 - 3652/105*x^2*z^2 - 22/35*y^2*z^2 - 2609/735*z^4,1 oval
3*x^2 + 9/5*y^2 + 3/5*z^2,5*x^2 + 10/3*y^2 - 4/7*z^2,9*x^2 + 3*y^2 + 2/3*z^2,-2*x^4 + 122/15*x^2*y^2 + 257/45*y^4 - 459/35*x^2*z^2 - 143/21*y^2*z^2 - 18/245*z^4,1 oval
4*x^2 + 6/7*y^2 - 4/3*z^2,x^2 - 8/7*y^2 + 4/5*z^2,3*x^2 + 1/7*y^2 - 4/7*z^2,-11*x^4 - 38/7*x^2*y^2 + 58/49*y^4 + 276/35*x^2*z^2 - 844/735*y^2*z^2 - 64/525*z^4,2 non-nested ovals
8*x^2 - 7/5*y^2 + 4*z^2,6*x^2 + 7/5*y^2 - z^2,9*x^2 - 1/7*y^2,-36*x^4 + 1069/35*x^2*y^2 + 44/25*y^4 - 48*x^2*z^2 - 78/35*y^2*z^2 + z^4,1 oval
